Sample in Buffer,Sample in Window,TRIGGER,daq_stream[0]_1[31:0],daq_stream[1]_1[31:0],daq_stream_k[0]_1[3:0],daq_stream_k[1]_1[3:0],daq_data_type[0][1:0],daq_data_type[1][1:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
361,361,0,cc00b53b,000000bc,0,1,0,3
362,362,0,0b786832,000000bc,0,1,0,3
363,363,0,72210139,000000bc,0,1,0,3
364,364,0,d02308f1,000000bc,0,1,0,3
365,365,0,08325c46,000000bc,0,1,0,3
366,366,0,440e30e0,000000bc,0,1,0,3
367,367,0,ccd45012,000000bc,0,1,0,3
368,368,0,c18f962d,000000bc,0,1,0,3
369,369,0,1b90b121,000000bc,0,1,0,3
370,370,0,6027c657,000000bc,0,1,0,3
371,371,0,9508d022,000000bc,0,1,0,3
372,372,0,c971bc45,000000bc,0,1,0,3
373,373,0,40fb0b4c,000000bc,0,1,0,3
374,374,0,7c72a1ca,000000bc,0,1,0,3
375,375,0,fdcd402d,000000bc,0,1,0,3
376,376,0,2e082791,000000bc,0,1,0,3
377,377,0,d1c74820,000000bc,0,1,0,3
378,378,0,f4345437,000000bc,0,1,0,3
379,379,0,07f3d98c,000000bc,0,1,0,3
380,380,0,00000000,000000bc,0,1,0,3
381,381,0,05acf7dc,000000bc,1,1,0,3
382,382,0,000000bc,000000bc,1,1,2,3
383,383,0,000000bc,000000bc,1,1,3,3
384,384,0,000000bc,000000bc,1,1,3,3
385,385,0,0000003c,000000bc,1,1,1,3
386,386,0,03c00000,000000bc,0,1,0,3
387,387,0,4ff23789,000000bc,0,1,0,3
388,388,0,0125e088,000000bc,0,1,0,3
389,389,0,03c0c000,000000bc,0,1,0,3
390,390,0,59bdf000,000000bc,0,1,0,3
391,391,0,cffe003c,000000bc,0,1,0,3
392,392,0,18006001,000000bc,0,1,0,3
393,393,0,ff4ff400,000000bc,0,1,0,3
394,394,0,3ff8ff93,000000bc,0,1,0,3
395,395,0,40020004,000000bc,0,1,0,3
396,396,0,09000c00,000000bc,0,1,0,3
397,397,0,fff00080,000000bc,0,1,0,3
398,398,0,00053ff8,000000bc,0,1,0,3
399,399,0,2000c3fe,000000bc,0,1,0,3
400,400,0,03cffd00,000000bc,0,1,0,3
401,401,0,00240050,000000bc,0,1,0,3
402,402,0,20058ffd,000000bc,0,1,0,3
403,403,0,0f3fe800,000000bc,0,1,0,3
404,404,0,007002c0,000000bc,0,1,0,3
405,405,0,4ff9002c,000000bc,0,1,0,3
406,406,0,1cff2001,000000bc,0,1,0,3
407,407,0,00c00300,000000bc,0,1,0,3
408,408,0,000000e0,000000bc,0,1,0,3
409,409,0,7001c00d,000000bc,0,1,0,3
